lot_id,source_lot_id,notice_id,procedure_id,lot_title,lot_description,lot_status,estimated_value,currency_code,category_id,source_id,source_file_id,source_record_id,collected_at
lot_00204,LOT-0052,not_0077,pro_0072,Zad. 52 – Sterylny zestaw przeznaczony do zabiegów brzuszno-kroczowych – B. O. O. Chirurgii,"3.3. Wymagania Zamawiającego dotyczące przedmiotu zamówienia: 1) oferowany wyrób medyczny musi posiadać atesty, certyfikaty i być zarejestrowany zgodnie z przepisami prawa wymagającymi posiadania atestów, certyfikatów oraz rejestracji, 2) oferowany wyrób medyczny musi być wprowadzony do obrotu i używania zgodnie z wymaganiami ustawy z dnia 7 kwietnia 2022 r. o wyrobach medycznych (Dz. U. z 2022 r., poz. 974 z późn. zm.), 3) oferowany wyrób medyczny musi odpowiadać normom lub specyfikacjom technicznym obowiązującym dla tego wyrobu; W przypadku, gdyby oferowany wyrób medyczny nie wymagał zgłoszenia do Prezesa Urzędu Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych Wykonawca zobowiązany jest do wykonania na własny koszt i we własnym zakresie wszelkich czynności niezbędnych do wypełnienia wszystkich wymogów prawa związanych z wprowadzeniem wyrobu do obrotu i używania na terenie Rzeczypospolitej Polskiej. Wykonawca zobowiązany jest wykonać takie czynności w terminach wynikających z obowiązujących przepisów oraz dostarczyć Zamawiającemu w tych terminach stosowne dokumenty potwierdzające wykonanie takich czynności. 3.4. W przypadkach, kiedy w opisie przedmiotu zamówienia wskazane zostały znaki towarowe, patenty lub pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę, oznacza to, że Zamawiający nie może opisać przedmiotu zamówienia w wystarczająco precyzyjny i zrozumiały sposób, jednakże w każdej takiej sytuacji Zamawiający dopuszcza rozwiązanie równoważne do opisanych w powyższy sposób. W takich sytuacjach ewentualne wskazania na znaki towarowe, patenty, pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę należy odczytywać łącznie z wyrazami „lub równoważne”. Opisując przedmiot zamówienia przez odniesienie do norm, ocen technicznych, specyfikacji technicznych i systemów referencji technicznych, o których mowa w art. 101 ust. 1 pkt 2 oraz ust. 3, Zamawiający dopuszcza rozwiązania równoważne opisywanym W takich sytuacjach ewentualne wskazania należy odczytywać łącznie z wyrazami „lub równoważne”. 3.5. Zamawiający wymaga realizacji przedmiotu zamówienia na zasadach określonych w umowie. Projektowane postanowienia umowy w sprawie zamówienia publicznego, które zostaną wprowadzone do umowy stanowią załączniki do SWZ. 3.6. Zamawiający zastrzega sobie prawo do wezwania Wykonawców w przypadku jakichkolwiek wątpliwości, do złożenia próbek oferowanego asortymentu w celu weryfikacji jego zgodności z opisami zawartymi w SWZ. Nie złożenie wymaganego próbek lub złożenie próbek niespełniających wymagań określonych w SWZ spowoduje odrzucenie oferty na podstawie art. 226 ust. 1 pkt 5 Ustawy Pzp. 20. INFORMACJA O PRZEWIDYWANYCH ZAMÓWIENIACH, O KTÓRYCH MOWA W ART. 214 UST. 1 PKT 7 I 8, JEŻELI ZAMAWIAJĄCY PRZEWIDUJE UDZIELANIE TAKICH ZAMÓWIEŃ Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 7 ustawy Pzp. Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 8 ustawy Pzp. OPIS KRYTERIÓW, KTÓRYMI ZAMAWIAJĄCY BĘDZIE SIĘ KIEROWAŁ PRZY WYBORZE OFERTY, WRAZ Z PODANIEM WAG TYCH KRYTERIÓW I SPOSOBU OCENY OFERT 13.1. Ocena ofert zostanie przeprowadzona na podstawie kryteriów określonych w SWZ oraz ich wag. Oferty oceniane będą punktowo odrębnie w odniesieniu do poszczególnych Zadań. W trakcie oceny ofert kolejno rozpatrywanym i ocenianym ofertom przyznawane są punkty za poniższe kryteria według następujących zasad: W odniesieniu do wszystkich zadań: KRYTERIUM CENA waga: 80 % (Pn) KRYTERIUM TERMIN WYKONANIA ZAMÓWIENIA CZĄSTKOWEGO waga: 20 % (Tn)",selec-w,,,cat_0074,src_ted_opendata,file_ted_0077,lot:LOT-0052,2026-08-19
lot_00205,LOT-0054,not_0077,pro_0072,Zad. 54 – Zestaw do dysku szyjnego – B. O. O. Neurochirurgii,"3.3. Wymagania Zamawiającego dotyczące przedmiotu zamówienia: 1) oferowany wyrób medyczny musi posiadać atesty, certyfikaty i być zarejestrowany zgodnie z przepisami prawa wymagającymi posiadania atestów, certyfikatów oraz rejestracji, 2) oferowany wyrób medyczny musi być wprowadzony do obrotu i używania zgodnie z wymaganiami ustawy z dnia 7 kwietnia 2022 r. o wyrobach medycznych (Dz. U. z 2022 r., poz. 974 z późn. zm.), 3) oferowany wyrób medyczny musi odpowiadać normom lub specyfikacjom technicznym obowiązującym dla tego wyrobu; W przypadku, gdyby oferowany wyrób medyczny nie wymagał zgłoszenia do Prezesa Urzędu Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych Wykonawca zobowiązany jest do wykonania na własny koszt i we własnym zakresie wszelkich czynności niezbędnych do wypełnienia wszystkich wymogów prawa związanych z wprowadzeniem wyrobu do obrotu i używania na terenie Rzeczypospolitej Polskiej. Wykonawca zobowiązany jest wykonać takie czynności w terminach wynikających z obowiązujących przepisów oraz dostarczyć Zamawiającemu w tych terminach stosowne dokumenty potwierdzające wykonanie takich czynności. 3.4. W przypadkach, kiedy w opisie przedmiotu zamówienia wskazane zostały znaki towarowe, patenty lub pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę, oznacza to, że Zamawiający nie może opisać przedmiotu zamówienia w wystarczająco precyzyjny i zrozumiały sposób, jednakże w każdej takiej sytuacji Zamawiający dopuszcza rozwiązanie równoważne do opisanych w powyższy sposób. W takich sytuacjach ewentualne wskazania na znaki towarowe, patenty, pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę należy odczytywać łącznie z wyrazami „lub równoważne”. Opisując przedmiot zamówienia przez odniesienie do norm, ocen technicznych, specyfikacji technicznych i systemów referencji technicznych, o których mowa w art. 101 ust. 1 pkt 2 oraz ust. 3, Zamawiający dopuszcza rozwiązania równoważne opisywanym W takich sytuacjach ewentualne wskazania należy odczytywać łącznie z wyrazami „lub równoważne”. 3.5. Zamawiający wymaga realizacji przedmiotu zamówienia na zasadach określonych w umowie. Projektowane postanowienia umowy w sprawie zamówienia publicznego, które zostaną wprowadzone do umowy stanowią załączniki do SWZ. 3.6. Zamawiający zastrzega sobie prawo do wezwania Wykonawców w przypadku jakichkolwiek wątpliwości, do złożenia próbek oferowanego asortymentu w celu weryfikacji jego zgodności z opisami zawartymi w SWZ. Nie złożenie wymaganego próbek lub złożenie próbek niespełniających wymagań określonych w SWZ spowoduje odrzucenie oferty na podstawie art. 226 ust. 1 pkt 5 Ustawy Pzp. 20. INFORMACJA O PRZEWIDYWANYCH ZAMÓWIENIACH, O KTÓRYCH MOWA W ART. 214 UST. 1 PKT 7 I 8, JEŻELI ZAMAWIAJĄCY PRZEWIDUJE UDZIELANIE TAKICH ZAMÓWIEŃ Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 7 ustawy Pzp. Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 8 ustawy Pzp. OPIS KRYTERIÓW, KTÓRYMI ZAMAWIAJĄCY BĘDZIE SIĘ KIEROWAŁ PRZY WYBORZE OFERTY, WRAZ Z PODANIEM WAG TYCH KRYTERIÓW I SPOSOBU OCENY OFERT 13.1. Ocena ofert zostanie przeprowadzona na podstawie kryteriów określonych w SWZ oraz ich wag. Oferty oceniane będą punktowo odrębnie w odniesieniu do poszczególnych Zadań. W trakcie oceny ofert kolejno rozpatrywanym i ocenianym ofertom przyznawane są punkty za poniższe kryteria według następujących zasad: W odniesieniu do wszystkich zadań: KRYTERIUM CENA waga: 80 % (Pn) KRYTERIUM TERMIN WYKONANIA ZAMÓWIENIA CZĄSTKOWEGO waga: 20 % (Tn)",selec-w,,,cat_0074,src_ted_opendata,file_ted_0077,lot:LOT-0054,2026-08-19
lot_00206,LOT-0055,not_0077,pro_0072,Zad. 55 – Zestaw do dysku lędźwiowego – B. O. O. Neurochirurgii,"3.3. Wymagania Zamawiającego dotyczące przedmiotu zamówienia: 1) oferowany wyrób medyczny musi posiadać atesty, certyfikaty i być zarejestrowany zgodnie z przepisami prawa wymagającymi posiadania atestów, certyfikatów oraz rejestracji, 2) oferowany wyrób medyczny musi być wprowadzony do obrotu i używania zgodnie z wymaganiami ustawy z dnia 7 kwietnia 2022 r. o wyrobach medycznych (Dz. U. z 2022 r., poz. 974 z późn. zm.), 3) oferowany wyrób medyczny musi odpowiadać normom lub specyfikacjom technicznym obowiązującym dla tego wyrobu; W przypadku, gdyby oferowany wyrób medyczny nie wymagał zgłoszenia do Prezesa Urzędu Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych Wykonawca zobowiązany jest do wykonania na własny koszt i we własnym zakresie wszelkich czynności niezbędnych do wypełnienia wszystkich wymogów prawa związanych z wprowadzeniem wyrobu do obrotu i używania na terenie Rzeczypospolitej Polskiej. Wykonawca zobowiązany jest wykonać takie czynności w terminach wynikających z obowiązujących przepisów oraz dostarczyć Zamawiającemu w tych terminach stosowne dokumenty potwierdzające wykonanie takich czynności. 3.4. W przypadkach, kiedy w opisie przedmiotu zamówienia wskazane zostały znaki towarowe, patenty lub pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę, oznacza to, że Zamawiający nie może opisać przedmiotu zamówienia w wystarczająco precyzyjny i zrozumiały sposób, jednakże w każdej takiej sytuacji Zamawiający dopuszcza rozwiązanie równoważne do opisanych w powyższy sposób. W takich sytuacjach ewentualne wskazania na znaki towarowe, patenty, pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę należy odczytywać łącznie z wyrazami „lub równoważne”. Opisując przedmiot zamówienia przez odniesienie do norm, ocen technicznych, specyfikacji technicznych i systemów referencji technicznych, o których mowa w art. 101 ust. 1 pkt 2 oraz ust. 3, Zamawiający dopuszcza rozwiązania równoważne opisywanym W takich sytuacjach ewentualne wskazania należy odczytywać łącznie z wyrazami „lub równoważne”. 3.5. Zamawiający wymaga realizacji przedmiotu zamówienia na zasadach określonych w umowie. Projektowane postanowienia umowy w sprawie zamówienia publicznego, które zostaną wprowadzone do umowy stanowią załączniki do SWZ. 3.6. Zamawiający zastrzega sobie prawo do wezwania Wykonawców w przypadku jakichkolwiek wątpliwości, do złożenia próbek oferowanego asortymentu w celu weryfikacji jego zgodności z opisami zawartymi w SWZ. Nie złożenie wymaganego próbek lub złożenie próbek niespełniających wymagań określonych w SWZ spowoduje odrzucenie oferty na podstawie art. 226 ust. 1 pkt 5 Ustawy Pzp. 20. INFORMACJA O PRZEWIDYWANYCH ZAMÓWIENIACH, O KTÓRYCH MOWA W ART. 214 UST. 1 PKT 7 I 8, JEŻELI ZAMAWIAJĄCY PRZEWIDUJE UDZIELANIE TAKICH ZAMÓWIEŃ Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 7 ustawy Pzp. Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 8 ustawy Pzp. OPIS KRYTERIÓW, KTÓRYMI ZAMAWIAJĄCY BĘDZIE SIĘ KIEROWAŁ PRZY WYBORZE OFERTY, WRAZ Z PODANIEM WAG TYCH KRYTERIÓW I SPOSOBU OCENY OFERT 13.1. Ocena ofert zostanie przeprowadzona na podstawie kryteriów określonych w SWZ oraz ich wag. Oferty oceniane będą punktowo odrębnie w odniesieniu do poszczególnych Zadań. W trakcie oceny ofert kolejno rozpatrywanym i ocenianym ofertom przyznawane są punkty za poniższe kryteria według następujących zasad: W odniesieniu do wszystkich zadań: KRYTERIUM CENA waga: 80 % (Pn) KRYTERIUM TERMIN WYKONANIA ZAMÓWIENIA CZĄSTKOWEGO waga: 20 % (Tn)",selec-w,,,cat_0074,src_ted_opendata,file_ted_0077,lot:LOT-0055,2026-08-19
lot_00207,LOT-0056,not_0077,pro_0072,Zad. 56 – Zestaw do kraniotomii – B. O. O. Neurochirurgii,"3.3. Wymagania Zamawiającego dotyczące przedmiotu zamówienia: 1) oferowany wyrób medyczny musi posiadać atesty, certyfikaty i być zarejestrowany zgodnie z przepisami prawa wymagającymi posiadania atestów, certyfikatów oraz rejestracji, 2) oferowany wyrób medyczny musi być wprowadzony do obrotu i używania zgodnie z wymaganiami ustawy z dnia 7 kwietnia 2022 r. o wyrobach medycznych (Dz. U. z 2022 r., poz. 974 z późn. zm.), 3) oferowany wyrób medyczny musi odpowiadać normom lub specyfikacjom technicznym obowiązującym dla tego wyrobu; W przypadku, gdyby oferowany wyrób medyczny nie wymagał zgłoszenia do Prezesa Urzędu Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych Wykonawca zobowiązany jest do wykonania na własny koszt i we własnym zakresie wszelkich czynności niezbędnych do wypełnienia wszystkich wymogów prawa związanych z wprowadzeniem wyrobu do obrotu i używania na terenie Rzeczypospolitej Polskiej. Wykonawca zobowiązany jest wykonać takie czynności w terminach wynikających z obowiązujących przepisów oraz dostarczyć Zamawiającemu w tych terminach stosowne dokumenty potwierdzające wykonanie takich czynności. 3.4. W przypadkach, kiedy w opisie przedmiotu zamówienia wskazane zostały znaki towarowe, patenty lub pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę, oznacza to, że Zamawiający nie może opisać przedmiotu zamówienia w wystarczająco precyzyjny i zrozumiały sposób, jednakże w każdej takiej sytuacji Zamawiający dopuszcza rozwiązanie równoważne do opisanych w powyższy sposób. W takich sytuacjach ewentualne wskazania na znaki towarowe, patenty, pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę należy odczytywać łącznie z wyrazami „lub równoważne”. Opisując przedmiot zamówienia przez odniesienie do norm, ocen technicznych, specyfikacji technicznych i systemów referencji technicznych, o których mowa w art. 101 ust. 1 pkt 2 oraz ust. 3, Zamawiający dopuszcza rozwiązania równoważne opisywanym W takich sytuacjach ewentualne wskazania należy odczytywać łącznie z wyrazami „lub równoważne”. 3.5. Zamawiający wymaga realizacji przedmiotu zamówienia na zasadach określonych w umowie. Projektowane postanowienia umowy w sprawie zamówienia publicznego, które zostaną wprowadzone do umowy stanowią załączniki do SWZ. 3.6. Zamawiający zastrzega sobie prawo do wezwania Wykonawców w przypadku jakichkolwiek wątpliwości, do złożenia próbek oferowanego asortymentu w celu weryfikacji jego zgodności z opisami zawartymi w SWZ. Nie złożenie wymaganego próbek lub złożenie próbek niespełniających wymagań określonych w SWZ spowoduje odrzucenie oferty na podstawie art. 226 ust. 1 pkt 5 Ustawy Pzp. 20. INFORMACJA O PRZEWIDYWANYCH ZAMÓWIENIACH, O KTÓRYCH MOWA W ART. 214 UST. 1 PKT 7 I 8, JEŻELI ZAMAWIAJĄCY PRZEWIDUJE UDZIELANIE TAKICH ZAMÓWIEŃ Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 7 ustawy Pzp. Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 8 ustawy Pzp. OPIS KRYTERIÓW, KTÓRYMI ZAMAWIAJĄCY BĘDZIE SIĘ KIEROWAŁ PRZY WYBORZE OFERTY, WRAZ Z PODANIEM WAG TYCH KRYTERIÓW I SPOSOBU OCENY OFERT 13.1. Ocena ofert zostanie przeprowadzona na podstawie kryteriów określonych w SWZ oraz ich wag. Oferty oceniane będą punktowo odrębnie w odniesieniu do poszczególnych Zadań. W trakcie oceny ofert kolejno rozpatrywanym i ocenianym ofertom przyznawane są punkty za poniższe kryteria według następujących zasad: W odniesieniu do wszystkich zadań: KRYTERIUM CENA waga: 80 % (Pn) KRYTERIUM TERMIN WYKONANIA ZAMÓWIENIA CZĄSTKOWEGO waga: 20 % (Tn)",selec-w,,,cat_0074,src_ted_opendata,file_ted_0077,lot:LOT-0056,2026-08-19
lot_00208,LOT-0057,not_0077,pro_0072,Zad. 57 – Zestaw do zabiegów wewnątrznaczyniowych – B. O. O. Neurochirurgii,"3.3. Wymagania Zamawiającego dotyczące przedmiotu zamówienia: 1) oferowany wyrób medyczny musi posiadać atesty, certyfikaty i być zarejestrowany zgodnie z przepisami prawa wymagającymi posiadania atestów, certyfikatów oraz rejestracji, 2) oferowany wyrób medyczny musi być wprowadzony do obrotu i używania zgodnie z wymaganiami ustawy z dnia 7 kwietnia 2022 r. o wyrobach medycznych (Dz. U. z 2022 r., poz. 974 z późn. zm.), 3) oferowany wyrób medyczny musi odpowiadać normom lub specyfikacjom technicznym obowiązującym dla tego wyrobu; W przypadku, gdyby oferowany wyrób medyczny nie wymagał zgłoszenia do Prezesa Urzędu Rejestracji Produktów Leczniczych, Wyrobów Medycznych i Produktów Biobójczych Wykonawca zobowiązany jest do wykonania na własny koszt i we własnym zakresie wszelkich czynności niezbędnych do wypełnienia wszystkich wymogów prawa związanych z wprowadzeniem wyrobu do obrotu i używania na terenie Rzeczypospolitej Polskiej. Wykonawca zobowiązany jest wykonać takie czynności w terminach wynikających z obowiązujących przepisów oraz dostarczyć Zamawiającemu w tych terminach stosowne dokumenty potwierdzające wykonanie takich czynności. 3.4. W przypadkach, kiedy w opisie przedmiotu zamówienia wskazane zostały znaki towarowe, patenty lub pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę, oznacza to, że Zamawiający nie może opisać przedmiotu zamówienia w wystarczająco precyzyjny i zrozumiały sposób, jednakże w każdej takiej sytuacji Zamawiający dopuszcza rozwiązanie równoważne do opisanych w powyższy sposób. W takich sytuacjach ewentualne wskazania na znaki towarowe, patenty, pochodzenie, źródło lub szczególny proces, który charakteryzuje określone produkty lub usługi dostarczane przez konkretnego wykonawcę należy odczytywać łącznie z wyrazami „lub równoważne”. Opisując przedmiot zamówienia przez odniesienie do norm, ocen technicznych, specyfikacji technicznych i systemów referencji technicznych, o których mowa w art. 101 ust. 1 pkt 2 oraz ust. 3, Zamawiający dopuszcza rozwiązania równoważne opisywanym W takich sytuacjach ewentualne wskazania należy odczytywać łącznie z wyrazami „lub równoważne”. 3.5. Zamawiający wymaga realizacji przedmiotu zamówienia na zasadach określonych w umowie. Projektowane postanowienia umowy w sprawie zamówienia publicznego, które zostaną wprowadzone do umowy stanowią załączniki do SWZ. 3.6. Zamawiający zastrzega sobie prawo do wezwania Wykonawców w przypadku jakichkolwiek wątpliwości, do złożenia próbek oferowanego asortymentu w celu weryfikacji jego zgodności z opisami zawartymi w SWZ. Nie złożenie wymaganego próbek lub złożenie próbek niespełniających wymagań określonych w SWZ spowoduje odrzucenie oferty na podstawie art. 226 ust. 1 pkt 5 Ustawy Pzp. 20. INFORMACJA O PRZEWIDYWANYCH ZAMÓWIENIACH, O KTÓRYCH MOWA W ART. 214 UST. 1 PKT 7 I 8, JEŻELI ZAMAWIAJĄCY PRZEWIDUJE UDZIELANIE TAKICH ZAMÓWIEŃ Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 7 ustawy Pzp. Zamawiający nie przewiduje udzielania zamówień, o których mowa w art. 214 ust. 1 pkt 8 ustawy Pzp. OPIS KRYTERIÓW, KTÓRYMI ZAMAWIAJĄCY BĘDZIE SIĘ KIEROWAŁ PRZY WYBORZE OFERTY, WRAZ Z PODANIEM WAG TYCH KRYTERIÓW I SPOSOBU OCENY OFERT 13.1. Ocena ofert zostanie przeprowadzona na podstawie kryteriów określonych w SWZ oraz ich wag. Oferty oceniane będą punktowo odrębnie w odniesieniu do poszczególnych Zadań. W trakcie oceny ofert kolejno rozpatrywanym i ocenianym ofertom przyznawane są punkty za poniższe kryteria według następujących zasad: W odniesieniu do wszystkich zadań: KRYTERIUM CENA waga: 80 % (Pn) KRYTERIUM TERMIN WYKONANIA ZAMÓWIENIA CZĄSTKOWEGO waga: 20 % (Tn)",selec-w,,,cat_0074,src_ted_opendata,file_ted_0077,lot:LOT-0057,2026-08-19
lot_00209,LOT-0001,not_0078,pro_0073,"Travaux, entretien et contrôle de Défense Extérieure Contre l'Incendie (DECI) sur le territoire de la Gironde.","Le présent marché a pour objet les travaux de création, de maintenance préventive et de maintenance curative des Points d'Eau Incendie (PEI), ainsi que l'assistance à la réalisation d'un schéma communal ou intercommunal, pour les communes adhérentes au SDEEG et situées sur le territoire de la Gironde.",selec-w,200000,EUR,cat_0075,src_ted_opendata,file_ted_0078,lot:LOT-0001,2026-08-19
lot_00210,LOT-0002,not_0078,pro_0073,"Travaux, entretien et contrôle de Défense Extérieure Contre l'Incendie (DECI) sur le territoire de la Gironde.","Le présent marché a pour objet les travaux de création, de maintenance préventive et de maintenance curative des Points d'Eau Incendie (PEI), ainsi que l'assistance à la réalisation d'un schéma communal ou intercommunal, pour les communes adhérentes au SDEEG et situées sur le territoire de la Gironde.",selec-w,150000,EUR,cat_0075,src_ted_opendata,file_ted_0078,lot:LOT-0002,2026-08-19
lot_00211,LOT-0000,not_0079,pro_0074,Elektrienergia ostmine 2025-2027,"Hankelepingu esemeks elektrienergia ostmine Lüganuse Vallavalitsusele, tema allasutustele ning partneritele vastavalt hankedokumentides toodud tingimustele.",selec-w,,,cat_0037,src_ted_opendata,file_ted_0079,lot:LOT-0000,2026-08-19
lot_00212,LOT-0000,not_0080,pro_0075,Kompetenzzentrum für zirkuläre Wirtschaft,"Die Leistung dient der Unterstützung des BMUV im Rahmen seiner Ressortzuständigkeit. Die/der AN hat zur Abwicklung der administrativen Prozesse eine angemessene Geschäftsstelle mit dauerhaften Ansprechpartner:innen für die Unternehmen, Stakeholder/Akteure und die AG`in einzurichten. Die maßgeblichen Aufgaben des Kompetenzzentrums sind insbesondere: • Fortführung des Dialogprozesses zur Umsetzung der Nationalen Kreislaufwirtschaftsstrategie (Dialog zur NKWS) ab 2025 und Übernahme der Geschäftsstellenfunktion und der Website (Dialog zur NKWS) ab 2026 • Beratung und Unterstützung des BMUV in Fragen der Kreislaufwirtschaft und damit zusammenhängenden Fragen digitaler Technologien • Bereitstellung von Wissen und Informationen für unterschiedliche Zielgruppen aus Wirtschaft, Politik und Zivilgesellschaft, insbesondere für KMU, Start-ups • Erarbeitung von Grundlagen für Themenfelder mit hohem Potential für Kreislaufwirtschaft und verbesserte Ressourceneffizienz • Beratung von Unternehmen, Erstellung interaktiver Arbeitsmittel, wie zum Beispiel Handlungsempfehlungen und webbasierte Werkzeuge für die Zielgruppen • Pflege und Ausbau eines inhaltlich umfassenden, adressatenorientierten, interaktiven und weitestgehend barrierefreien Internetangebots (Websites) einschließlich ggf. der Social-Media-Angeboten bzw. alternativer Ansätze der Öffentlichkeitsarbeit, insbesondere zu den Themen, Kreislaufwirtschaft, Ressourceneffizienz und Digitalisierung mit dem Fokus auf der Verbreitung von Informationen und Anwendungsmöglichkeiten (http://www.ressource-deutschland.de sowie http://www.ressource-deutschland.tv und diversen Social-Media-Kanälen) • Konzeption und Durchführung von Veranstaltungen, insbesondere für den Mittel-stand und Start-Ups • Beteiligung an Veranstaltungen und Messen mit großer Multiplikator-Wirkung • Öffentlichkeitsarbeit und Netzwerkpflege für das Netzwerk Ressourceneffizienz (http://www.netzwerk-ressourceneffizienz.de) des BMUV • Durchführung internationaler Aktivitäten, beispielsweise Vernetzung und Erfahrungsaustausch mit Fachagenturen sowie relevanten Institutionen (europäisch, international) • Qualifizierung, Bildung sowie Weiterbildung einschließlich der Zusammenarbeit mit entsprechenden Anbietern • Unterstützung und Mitarbeit in Normungsgremien, wie VDI und DIN, CEN und ISO. Im Einzelnen sind die ab dem 1. Januar 2025 bis zum 31. Dezember 2028 zu erbringenden Leistungen in neun Arbeitspaketen in Dokument 03.01 Leistungsbeschreibung als Bestandteil der Vergabeunterlagen beschrieben. Die bisherigen Strukturen bzw. der organisatorische Aufbau des Kompetenzzentrums sollen grundsätzlich übernommen und wo erforderlich, aktualisiert und angepasst werden. Das beinhaltet die Übernahme aller bisher erstellten Produkte des Kompetenzzentrums, die technischen Arbeitsmittel, die Websites, Datenbanken, Apps, Webvideomagazin und Social-Media-Kanäle (s. Anlage 1 zur Leistungsbeschreibung „Technische Hinweise Internetangebot VDI ZRE“, Dokument 03.01 der Vergabeunterlagen). Das umfasst die Organisation und Pflege der Netzwerke und Schulungen sowie die direkte Kontaktfunktion für Unternehmen und interessierte Personen. Eine Übernahme von Personal oder Sachmitteln wie Büroausstattung o.ä. des bestehenden Kompetenzzentrums ist nicht vorgesehen. Die unter Nr. 4.9 der Leistungsbeschreibung (s. Dokument 03.01 der Vergabeunterlagen) beschriebenen optionalen Leistungen sollen möglichst innerhalb des Leistungszeitraums vom 01.01.2025 bis 31.12.2028 umgesetzt werden. Eine Einzelbeauftragung soll bei Vorliegen der haushaltsrechtlichen Voraussetzungen erfolgen. Ein Anspruch der/des AN auf Beauftragung der einzelnen Leistungen ist damit nicht verbunden. Die Verlängerungsoptionen bei Vorliegen der haushaltsrechtlichen Voraussetzungen, beschrieben unter Nr. 5.2 und unter Nr. 5.3 der Leistungsbeschreibung (Dokument 03.01 der Vergabeunterlagen),umfassen den durchschnittlichen jährlichen Leistungsumfang der Arbeitspakete 1 bis 9.",selec-w,,,cat_0076,src_ted_opendata,file_ted_0080,lot:LOT-0000,2026-08-19
lot_00213,LOT-0001,not_0081,pro_0076,Duomenų nutekėjimo prevencijos (DLP) projekto diegimo konsultantų paslaugos,Duomenų nutekėjimo prevencijos (DLP) projekto diegimo konsultantų paslaugos,selec-w,,,cat_0049,src_ted_opendata,file_ted_0081,lot:LOT-0001,2026-08-19
lot_00214,LOT-0001,not_0082,pro_0077,"la conception, la production et la livraison de boîtes multi-activités délivrées dans le cadre du Plan Famille aux enfants de 3 à 5 ans de militaires lors des absences opérationnelles","la conception, la production et la livraison de boîtes multi-activités délivrées dans le cadre du Plan Famille aux enfants de 3 à 5 ans de militaires lors des absences opérationnelles",selec-w,917000,EUR,cat_0077,src_ted_opendata,file_ted_0082,lot:LOT-0001,2026-08-19
lot_00215,LOT-0003,not_0082,pro_0077,"la conception, la production et la livraison de boîtes multi-activités délivrées dans le cadre du Plan Famille aux enfants de 10 à 12 ans de militaires lors des absences opérationnelles","la conception, la production et la livraison de boîtes multi-activités délivrées dans le cadre du Plan Famille aux enfants de 10 à 12 ans de militaires lors des absences opérationnelles",selec-w,917000,EUR,cat_0077,src_ted_opendata,file_ted_0082,lot:LOT-0003,2026-08-19
lot_00216,LOT-0001,not_0083,pro_0078,SELEZIONE SOGGETTO ESECUTORE PER PROGETTO QUALITY HERITAGE OF EUROPE,"Bando di Gara per la selezione, mediante procedura competitiva aperta, di un organismo di esecuzione (qui nominato “organismo di esecuzione”) incaricato della realizzazione delle azioni rivolte al raggiungimento degli obiettivi previsti dal Programma triennale denominato Quality Heritage of Europe (“QHE”), avente come mercati target Italia, Francia, Germania e prodotto VINO e FORMAGGIO. Il suddetto programma è stato presentato alla Commissione Europea nell’ambito del reg EU 1144/2014, “Call for proposals AGRIP-SIMPLE-2024 – Promotion of agricultural products (AGRIP-SIMPLE-2024-IM-EU QS)” che è stato presentato nella CALL 2024.",selec-w,4883411.7,EUR,cat_0078,src_ted_opendata,file_ted_0083,lot:LOT-0001,2026-08-19
